node_id,giant_after,giant_fraction_remaining,component_count_after,nodes_outside_giant,fragmentation_score,name,degree,betweenness,closeness,pagerank,null_betweenness_mean,null_betweenness_sd,betweenness_z,betweenness_rank,fragmentation_rank
Spider-Man,271,0.9818840579710145,6,5,0.018050541516245487,Spider-Man,106,0.2349468109924437,0.5948275862068966,0.05014098886965177,0.23109885350364404,0.009431535464033572,0.4079884450918453,1,1
Black_Widow_(Natasha_Romanova),273,0.9891304347826086,3,3,0.010830324909747292,Black Widow (Natasha Romanova),25,0.03512029844667589,0.46,0.010101026838963332,0.016119443157725996,0.004567705884795548,4.159824596456123,8,2
Doctor_Strange,274,0.9927536231884058,3,2,0.007220216606498195,Doctor Strange,57,0.08267034461965445,0.5168539325842697,0.02072355595361328,0.07262901010068373,0.007593899621978387,1.3222896033427833,4,3
Deadpool,275,0.9963768115942029,2,1,0.0036101083032490976,Deadpool,41,0.05599383626150203,0.4937388193202147,0.014809219214712009,0.04105368373121382,0.006295076433493648,2.37330756633827,5,4
Deathlok,275,0.9963768115942029,2,1,0.0036101083032490976,Deathlok,20,0.021330119722229788,0.43601895734597157,0.005749076879997723,0.01109569217840156,0.0038532853613249553,2.6560263733774216,16,5
Genis-Vell,275,0.9963768115942029,2,1,0.0036101083032490976,Genis-Vell,8,0.007777682979737589,0.34892541087231355,0.00349449634033207,0.00197770431542494,0.001759390722424895,3.296583635679731,53,6
Guardsman_(character),275,0.9963768115942029,2,1,0.0036101083032490976,Guardsman (character),8,0.008399531107300958,0.3719676549865229,0.0015125587320331587,0.0018201826954456829,0.001406439267041593,4.67801814556469,47,7
Moon_Knight,275,0.9963768115942029,2,1,0.0036101083032490976,Moon Knight,27,0.023422991518455945,0.46938775510204084,0.008406113885381762,0.01860108351048726,0.0044672714537663406,1.079385494674462,13,8
Nightmask,275,0.9963768115942029,2,1,0.0036101083032490976,Nightmask,5,0.007656023014765652,0.32242990654205606,0.0019995808486485632,0.0010070019187946823,0.0015281460646383684,4.351037672268876,54,9
Rockman_(character),275,0.9963768115942029,2,1,0.0036101083032490976,Rockman (character),2,0.007246376811594203,0.3161512027491409,0.0005300214031699635,0.0001438690425075506,0.000743844527942096,9.54837671352681,59,10
